event_id,event_name,event_type,timestamp,user_id,persona,src_ip,domain_name,city,country,os,user_agent,device_type,login_type,tls_version,records_accessed,query_complexity,is_admin_action,label,scenario
evt_test_00221,SOQLQuery,query,2026-03-15T17:22:34+00:00,u_normal_sql_001,normal_sql_user,10.12.9.157,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.3,177,3,False,0,benign
evt_test_00222,SOQLQuery,query,2026-03-16T14:58:03+00:00,u_normal_sql_001,normal_sql_user,10.12.9.226,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,Password,TLS1.2,172,0,False,0,benign
evt_test_00223,Logout,auth,2026-03-17T18:17:40+00:00,u_normal_sql_001,normal_sql_user,10.12.9.101,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,Password,TLS1.3,37,0,False,0,benign
evt_test_00224,Login,auth,2026-03-18T15:20:37+00:00,u_normal_sql_001,normal_sql_user,10.12.8.227,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,SSO,TLS1.3,30,0,False,0,benign
evt_test_00225,Login,auth,2026-03-19T15:17:20+00:00,u_normal_sql_001,normal_sql_user,10.12.9.91,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,SSO,TLS1.3,14,0,False,0,benign
evt_test_00226,Login,auth,2026-03-20T09:59:54+00:00,u_normal_sql_001,normal_sql_user,10.12.8.117,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,Password,TLS1.3,2,0,False,0,benign
evt_test_00227,SOQLQuery,query,2026-03-21T12:05:41+00:00,u_normal_sql_001,normal_sql_user,10.12.9.69,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,SSO,TLS1.3,225,1,False,0,benign
evt_test_00228,Login,auth,2026-03-22T18:05:45+00:00,u_normal_sql_001,normal_sql_user,10.12.8.5,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,SSO,TLS1.2,28,0,False,0,benign
evt_test_00229,ConnectedAppOAuth,auth,2026-03-23T14:44:08+00:00,u_normal_sql_001,normal_sql_user,10.12.9.23,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,SSO,TLS1.2,8,0,False,0,benign
evt_test_00230,Login,auth,2026-03-24T14:49:52+00:00,u_normal_sql_001,normal_sql_user,10.12.8.169,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,Password,TLS1.3,9,0,False,0,benign
evt_test_00231,ReportExport,data_access,2026-03-25T18:47:09+00:00,u_normal_sql_001,normal_sql_user,10.12.9.162,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,Password,TLS1.2,182,5,False,0,benign
evt_test_00232,SOQLQuery,query,2026-03-26T14:20:50+00:00,u_normal_sql_001,normal_sql_user,10.12.8.68,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,Password,TLS1.2,198,2,False,0,benign
evt_test_00233,DashboardView,data_access,2026-03-27T17:32:12+00:00,u_normal_sql_001,normal_sql_user,10.12.9.80,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,Password,TLS1.3,34,0,False,0,benign
evt_test_00234,SOQLQuery,query,2026-03-28T13:59:20+00:00,u_normal_sql_001,normal_sql_user,10.12.8.104,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.3,253,3,False,0,benign
evt_test_00235,SOQLQuery,query,2026-03-15T17:04:00+00:00,u_normal_sql_001,normal_sql_user,10.12.9.60,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,Password,TLS1.3,138,2,False,0,benign
evt_test_00236,SOQLQuery,query,2026-03-16T14:05:40+00:00,u_normal_sql_001,normal_sql_user,10.12.8.76,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,SSO,TLS1.2,63,2,False,0,benign
evt_test_00237,Logout,auth,2026-03-17T14:46:54+00:00,u_normal_sql_001,normal_sql_user,10.12.8.19,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,Password,TLS1.3,20,0,False,0,benign
evt_test_00238,SOQLQuery,query,2026-03-18T09:00:45+00:00,u_normal_sql_001,normal_sql_user,10.12.8.184,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,Password,TLS1.3,160,4,False,0,benign
evt_test_00239,SOQLQuery,query,2026-03-19T10:47:49+00:00,u_normal_sql_001,normal_sql_user,10.12.9.192,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,Password,TLS1.3,207,3,False,0,benign
evt_test_00240,SOQLQuery,query,2026-03-20T15:29:32+00:00,u_normal_sql_001,normal_sql_user,10.12.9.19,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,Password,TLS1.3,297,6,False,0,benign
evt_test_00241,SOQLQuery,query,2026-03-21T16:00:02+00:00,u_normal_sql_001,normal_sql_user,10.12.8.67,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.3,117,2,False,0,benign
evt_test_00242,Logout,auth,2026-03-22T11:26:58+00:00,u_normal_sql_001,normal_sql_user,10.12.9.74,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,SSO,TLS1.2,21,0,False,0,benign
evt_test_00243,Login,auth,2026-03-23T09:56:29+00:00,u_normal_sql_001,normal_sql_user,10.12.9.203,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.2,26,0,False,0,benign
evt_test_00244,SOQLQuery,query,2026-03-24T17:50:19+00:00,u_normal_sql_001,normal_sql_user,10.12.8.123,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,SSO,TLS1.3,110,2,False,0,benign
evt_test_00245,Logout,auth,2026-03-25T11:34:22+00:00,u_normal_sql_001,normal_sql_user,10.12.8.90,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,SSO,TLS1.3,2,0,False,0,benign
evt_test_00246,Login,auth,2026-03-26T08:09:45+00:00,u_normal_sql_001,normal_sql_user,10.12.9.28,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,Password,TLS1.3,32,0,False,0,benign
evt_test_00247,DashboardView,data_access,2026-03-27T10:40:52+00:00,u_normal_sql_001,normal_sql_user,10.12.9.24,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.3,33,0,False,0,benign
evt_test_00248,SOQLQuery,query,2026-03-28T14:44:53+00:00,u_normal_sql_001,normal_sql_user,10.12.9.86,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,SSO,TLS1.2,229,4,False,0,benign
evt_test_00249,Logout,auth,2026-03-15T15:29:20+00:00,u_normal_sql_001,normal_sql_user,10.12.9.35,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,Password,TLS1.3,11,0,False,0,benign
evt_test_00250,SOQLQuery,query,2026-03-16T18:19:52+00:00,u_normal_sql_001,normal_sql_user,10.12.8.60,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,Password,TLS1.2,96,1,False,0,benign
evt_test_00251,SOQLQuery,query,2026-03-17T18:19:16+00:00,u_normal_sql_001,normal_sql_user,10.12.8.12,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,SSO,TLS1.3,425,4,False,0,benign
