event_id,event_name,event_type,timestamp,user_id,persona,src_ip,domain_name,city,country,os,user_agent,device_type,login_type,tls_version,records_accessed,query_complexity,is_admin_action,label,scenario
evt_train_00001,Login,auth,2026-01-01T09:43:47+00:00,u_normal_sql_001,normal_sql_user,10.12.8.156,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,Password,TLS1.2,9,0,False,0,benign
evt_train_00002,SOQLQuery,query,2026-01-02T11:28:37+00:00,u_normal_sql_001,normal_sql_user,10.12.9.212,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,Password,TLS1.3,357,3,False,0,benign
evt_train_00003,SOQLQuery,query,2026-01-03T09:05:24+00:00,u_normal_sql_001,normal_sql_user,10.12.8.96,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,SSO,TLS1.3,161,2,False,0,benign
evt_train_00004,Login,auth,2026-01-04T13:36:12+00:00,u_normal_sql_001,normal_sql_user,10.12.8.16,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,SSO,TLS1.3,40,0,False,0,benign
evt_train_00005,Login,auth,2026-01-05T10:23:22+00:00,u_normal_sql_001,normal_sql_user,10.12.8.176,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,Password,TLS1.3,24,0,False,0,benign
evt_train_00006,SOQLQuery,query,2026-01-06T14:17:59+00:00,u_normal_sql_001,normal_sql_user,10.12.8.180,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,Password,TLS1.2,145,2,False,0,benign
evt_train_00007,SOQLQuery,query,2026-01-07T09:13:58+00:00,u_normal_sql_001,normal_sql_user,10.12.9.59,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,SSO,TLS1.3,76,3,False,0,benign
evt_train_00008,Logout,auth,2026-01-08T16:16:47+00:00,u_normal_sql_001,normal_sql_user,10.12.9.234,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.2,36,0,False,0,benign
evt_train_00009,ConnectedAppOAuth,auth,2026-01-09T18:10:50+00:00,u_normal_sql_001,normal_sql_user,10.12.9.157,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.3,10,0,False,0,benign
evt_train_00010,DashboardView,data_access,2026-01-10T09:18:27+00:00,u_normal_sql_001,normal_sql_user,10.12.8.121,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,SSO,TLS1.3,22,0,False,0,benign
evt_train_00011,Login,auth,2026-01-11T10:34:49+00:00,u_normal_sql_001,normal_sql_user,10.12.8.158,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.2,24,0,False,0,benign
evt_train_00012,DashboardView,data_access,2026-01-12T09:05:46+00:00,u_normal_sql_001,normal_sql_user,10.12.9.213,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,Password,TLS1.2,37,0,False,0,benign
evt_train_00013,SOQLQuery,query,2026-01-13T11:59:34+00:00,u_normal_sql_001,normal_sql_user,10.12.8.187,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,SSO,TLS1.3,189,2,False,0,benign
evt_train_00014,ConnectedAppOAuth,auth,2026-01-14T09:21:01+00:00,u_normal_sql_001,normal_sql_user,10.12.8.155,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,Password,TLS1.2,15,0,False,0,benign
