event_id,event_name,event_type,timestamp,user_id,persona,src_ip,domain_name,city,country,os,user_agent,device_type,login_type,tls_version,records_accessed,query_complexity,is_admin_action,label,scenario,reconstruction_error,interestingness_score,reasons,is_interesting
evt_test_00221,SOQLQuery,query,2026-03-15T17:22:34+00:00,u_normal_sql_001,normal_sql_user,10.12.9.157,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,SSO,TLS1.3,177,3,False,0,benign,0.024771664,22.83,{},False
evt_test_00222,SOQLQuery,query,2026-03-16T14:58:03+00:00,u_normal_sql_001,normal_sql_user,10.12.9.226,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,desktop,Password,TLS1.2,172,0,False,0,benign,0.03838532,33.07,{},False
evt_test_00223,Logout,auth,2026-03-17T18:17:40+00:00,u_normal_sql_001,normal_sql_user,10.12.9.101,mycompany.my.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,Password,TLS1.3,37,0,False,0,benign,0.040216625,34.34,{},False
evt_test_00224,Login,auth,2026-03-18T15:20:37+00:00,u_normal_sql_001,normal_sql_user,10.12.8.227,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,SSO,TLS1.3,30,0,False,0,benign,0.026470523,24.19,{},False
evt_test_00225,Login,auth,2026-03-19T15:17:20+00:00,u_normal_sql_001,normal_sql_user,10.12.9.91,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,SSO,TLS1.3,14,0,False,0,benign,0.028825019,26.03,{},False
evt_test_00226,Login,auth,2026-03-20T09:59:54+00:00,u_normal_sql_001,normal_sql_user,10.12.8.117,mycompany.my.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,Password,TLS1.3,2,0,False,0,benign,0.037916016,32.74,{},False
evt_test_00227,SOQLQuery,query,2026-03-21T12:05:41+00:00,u_normal_sql_001,normal_sql_user,10.12.9.69,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,SSO,TLS1.3,225,1,False,0,benign,0.03291774,29.13,{},False
evt_test_00228,Login,auth,2026-03-22T18:05:45+00:00,u_normal_sql_001,normal_sql_user,10.12.8.5,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,desktop,SSO,TLS1.2,28,0,False,0,benign,0.04883331,40.0,{},False
evt_test_00229,ConnectedAppOAuth,auth,2026-03-23T14:44:08+00:00,u_normal_sql_001,normal_sql_user,10.12.9.23,login.salesforce.com,Chicago,US,Windows,Mozilla/5.0 Windows Chrome,laptop,SSO,TLS1.2,8,0,False,0,benign,0.040289395,34.39,{},False
evt_test_00230,Login,auth,2026-03-24T14:49:52+00:00,u_normal_sql_001,normal_sql_user,10.12.8.169,login.salesforce.com,Chicago,US,macOS,Mozilla/5.0 macOS Safari,laptop,Password,TLS1.3,9,0,False,0,benign,0.037966147,32.78,{},False
